r,time,x,y
27.51646614074707,0002-02-02 00:00:06,1605.8251953125,1508.77880859375
22.02960205078125,0002-02-02 00:00:06,2169.71923828125,1961.0303955078125
29.874414443969727,0002-02-02 00:00:06,2401.8330078125,1786.4019775390625
25.52762794494629,0002-02-02 00:00:06,2372.068359375,2549.501220703125
20.66132354736328,0002-02-02 00:00:06,2084.32275390625,2660.856689453125
20.662267684936523,0002-02-02 00:00:06,1862.0943603515625,1958.1689453125
25.1754207611084,0002-02-02 00:00:07,2344.171142578125,1881.0155029296875
22.924219131469727,0002-02-02 00:00:07,1592.8052978515625,1518.8111572265625
28.4217529296875,0002-02-02 00:00:07,1685.8902587890625,1104.5421142578125
39.71635437011719,0002-02-02 00:00:07,2697.509033203125,1056.239501953125
